movie_name,genre,number_different_values
Escape,"[['Crime, Mystery, Thriller'], ['Crime, Drama, Music'], ['Crime, Drama, Mystery'], ['Crime'], ['Crime, Drama, Music'], ['Drama, Romance'], ['Crime, Mystery, Thriller'], ['Crime, Drama, Music'], ['Crime, Drama, Mystery'], ['Mystery'], ['Adventure, Drama, Thriller'], ['Adventure'], ['Action, Adventure, Drama'], ['Adventure'], ['Action, Adventure'], ['Action, Adventure, Drama'], ['Action, Adventure'], ['Action'], ['Action, Drama, Thriller'], ['Action'], ['Adventure, Drama, Thriller'], ['Drama, Thriller'], ['Thriller'], ['Crime, Mystery, Thriller'], ['Thriller'], ['Thriller'], ['Action, Adventure, Drama'], ['Thriller'], ['Thriller'], ['Action, Drama, Thriller'], ['Drama, Thriller']]",14
No Man's Land,"[['Crime, Drama, Thriller'], ['Crime, Drama, Thriller'], ['Adventure, Crime, Drama'], ['Crime, Drama'], ['Horror'], ['Horror'], ['Horror'], ['Action, Horror'], ['Drama, Romance, War'], ['Action, Adventure, Thriller'], ['Adventure, Crime, Drama'], ['Action, Adventure'], ['Comedy, Drama, War'], ['Drama, War'], ['Drama, Romance, War'], ['Drama, War'], ['War'], ['Drama, War'], ['Music, War'], ['Drama, War'], ['Action, Adventure, Thriller'], ['Action, Western'], ['Action, Adventure'], ['Action, Horror'], ['Crime, Drama, Thriller'], ['Action, Adventure, Thriller'], ['Crime, Drama, Thriller'], ['Adventure, Crime, Drama'], ['Thriller']]",14
The Promise,"[['Action, Adventure, Crime'], ['Drama, Horror, Thriller'], ['Horror'], ['Drama, Romance'], ['Drama, Romance'], ['Action, Adventure, Crime'], ['Comedy, Drama, Romance'], ['Romance'], ['Romance, Drama'], ['Romance'], ['Action, Adventure, Drama'], ['Action, Adventure, Crime'], ['Adventure'], ['Adventure, Drama'], ['Sci-Fi'], ['Sci-Fi'], ['Action, Adventure, Drama'], ['Action, Adventure, Drama'], ['Action, Adventure, Crime'], ['Action'], ['Action'], ['Drama, Horror, Thriller'], ['Action, Adventure, Crime'], ['Thriller'], ['Thriller'], ['Comedy, Thriller']]",14
Redemption,"[['Action, Crime, Drama'], ['Action, Crime, Drama'], ['Crime, Drama, Thriller'], ['Crime'], ['Family, Horror, Romance'], ['Action, Romance'], ['Adventure, Drama, Romance'], ['Family, Horror, Romance'], ['Family, Horror, Romance'], ['Family'], ['Action, Family, Western'], ['Drama, Mystery, Thriller'], ['Adventure, Drama, Romance'], ['Sci-Fi'], ['Action, Drama, War'], ['Action, Crime, Drama'], ['Action, Drama, Thriller'], ['Action, Crime, Drama'], ['Action, Romance'], ['Action, Drama, War'], ['Action, Family, Western'], ['Action, Crime, Drama'], ['Action, Drama, Thriller'], ['Crime, Drama, Thriller'], ['Thriller'], ['Drama, Mystery, Thriller'], ['Drama, Music, Thriller'], ['Thriller']]",14
Zero,"[['Fantasy, Horror, Mystery'], ['Horror'], ['Horror, Thriller'], ['Comedy, Drama, Romance'], ['Fantasy, Horror, Mystery'], ['Action, Drama, Romance'], ['Animation'], ['Fantasy, Horror, Mystery'], ['Action, Adventure'], ['Action, Comedy, Drama'], ['Fantasy, Horror, Mystery'], ['Drama, War'], ['Action, Comedy, Thriller'], ['Action, Adventure'], ['Action, Drama'], ['Action, Comedy, Drama'], ['Action, Drama, Romance'], ['Action'], ['Thriller'], ['Action, Comedy, Thriller'], ['Thriller'], ['Thriller'], ['Horror, Thriller']]",13
The End,"[['Action, Adventure, Comedy'], ['Horror, Thriller'], ['Action, Comedy, Drama'], ['Horror'], ['Action, Comedy, Drama'], ['Action, Adventure, Comedy'], ['Adventure, Comedy'], ['Drama, Fantasy, Musical'], ['Drama, Sci-Fi, Thriller'], ['Drama, Sci-Fi'], ['Sci-Fi'], ['Drama, Fantasy, Musical'], ['Drama, Fantasy, Thriller'], ['Action, Adventure, Comedy'], ['Action, Comedy, Drama'], ['Action'], ['Drama, Sci-Fi, Thriller'], ['Drama, Fantasy, Thriller'], ['Comedy, Thriller'], ['Horror, Thriller'], ['Thriller'], ['Thriller']]",13
Black Friday,"[['Action, Crime, Drama'], ['Crime, Drama, Film-Noir'], ['Comedy, Horror'], ['Crime, Drama, Film-Noir'], ['Comedy, Horror, Musical'], ['Horror'], ['Horror'], ['Comedy, Horror, Thriller'], ['Action, Crime, Drama'], ['Drama, History'], ['Crime, Drama, Film-Noir'], ['Family'], ['Animation'], ['Crime, Drama, Film-Noir'], ['Adventure'], ['Crime, Drama, Film-Noir'], ['Comedy, Sci-Fi'], ['Action, Crime, Drama'], ['Action'], ['Action'], ['Crime, Drama, Film-Noir'], ['Thriller'], ['Comedy, Horror, Thriller']]",13
She,"[['Crime, Drama, Thriller'], ['Horror, Thriller'], ['Adventure, Fantasy, Romance'], ['Adventure, Fantasy'], ['Action, Adventure, Fantasy'], ['Adventure, Fantasy, Romance'], ['Action, Adventure, Fantasy'], ['Adventure, Fantasy, Sci-Fi'], ['Action, Adventure, Fantasy'], ['Adventure, Fantasy, Romance'], ['Action, Adventure, Fantasy'], ['Adventure, Fantasy, Sci-Fi'], ['Fantasy, Sci-Fi'], ['Drama, Fantasy, Sci-Fi'], ['Action, Sci-Fi'], ['Adventure, Fantasy'], ['Action, Adventure, Fantasy'], ['Adventure, Fantasy, Romance'], ['Action, Adventure, Fantasy'], ['Adventure, Fantasy, Sci-Fi'], ['Drama, Fantasy'], ['Fantasy, Sci-Fi'], ['Drama, Fantasy, Sci-Fi'], ['Action, Adventure, Fantasy'], ['Action, Adventure, Fantasy'], ['Action'], ['Action, Sci-Fi'], ['Action, Drama, Music'], ['Crime, Drama, Thriller'], ['Thriller'], ['Horror, Thriller']]",13
Monster,"[['Biography, Crime, Drama'], ['Crime, Drama'], ['Action, Adventure, Crime'], ['Crime, Drama'], ['Action, Crime, Thriller'], ['Action, Horror'], ['Horror'], ['Action, Horror, Mystery'], ['Comedy, Drama, Family'], ['Action, Horror, Mystery'], ['Action, Adventure, Crime'], ['Adventure, Sci-Fi, Thriller'], ['Action, Adventure, Comedy'], ['Adventure, Sci-Fi, Thriller'], ['Sci-Fi, Thriller'], ['Sci-Fi'], ['Comedy, Drama, Family'], ['Action, Adventure, Crime'], ['Action, Drama, Thriller'], ['Action, Horror'], ['Action, Horror, Mystery'], ['Action, Adventure, Comedy'], ['Action, Crime, Thriller'], ['Biography, Crime, Drama'], ['Action, Adventure, Crime'], ['Action, Drama, Thriller'], ['Adventure, Sci-Fi, Thriller'], ['Sci-Fi, Thriller'], ['Action, Crime, Thriller'], ['Biography, Crime, Drama']]",13
Prey,"[['Crime, Horror, Thriller'], ['Crime'], ['Action, Adventure, Drama'], ['Adventure, Drama, Horror'], ['Adventure, Horror, Mystery'], ['Comedy, Horror, Thriller'], ['Horror, Mystery, Sci-Fi'], ['Adventure, Drama, Horror'], ['Drama, Horror, Thriller'], ['Horror'], ['Crime, Horror, Thriller'], ['Horror'], ['Action, Horror'], ['Adventure, Horror, Mystery'], ['Horror, Mystery, Sci-Fi'], ['Adventure, Drama, Horror'], ['Action, Adventure, Drama'], ['Adventure, Drama, Thriller'], ['Adventure, Drama, Horror'], ['Adventure, Horror, Mystery'], ['Adventure, Drama, Horror'], ['Action, Adventure, Drama'], ['Adventure, Drama, Horror'], ['Horror, Mystery, Sci-Fi'], ['Action, Sci-Fi'], ['Action, Adventure, Drama'], ['Action, Sci-Fi'], ['Action, Horror'], ['Action, Adventure, Drama'], ['Adventure, Drama, Thriller'], ['Adventure, Drama, Horror'], ['Adventure, Horror, Mystery'], ['Comedy, Horror, Thriller'], ['Adventure, Drama, Horror'], ['Drama, Horror, Thriller'], ['Thriller'], ['Crime, Horror, Thriller'], ['Thriller']]",13
