movie_name,movie_id,number_different_values
Legacy,"[['tt0073272'], ['tt6078806'], ['tt3650720'], ['tt0099996'], ['tt14655582'], ['tt16549134'], ['tt6439748'], ['tt0156734'], ['tt0073272'], ['tt8272004'], ['tt1291562'], ['tt12840682'], ['tt7070552'], ['tt16549134'], ['tt1436034'], ['tt4714924'], ['tt6439748'], ['tt3064450'], ['tt3650720'], ['tt1508676'], ['tt12840682'], ['tt11224428'], ['tt3799946']]",18
Sleeping Beauty,"[['tt3343136'], ['tt1588398'], ['tt0053285'], ['tt0048010'], ['tt0121641'], ['tt1911626'], ['tt14007540'], ['tt0053285'], ['tt0093993'], ['tt0067012'], ['tt0121641'], ['tt0048010'], ['tt0330236'], ['tt4342020'], ['tt0053285'], ['tt0105427'], ['tt1588398'], ['tt0053285'], ['tt3343136'], ['tt3334390'], ['tt0100626'], ['tt4342020'], ['tt0053285'], ['tt3343136'], ['tt0093993'], ['tt3334390'], ['tt5078202'], ['tt0100626'], ['tt9691506'], ['tt0067012'], ['tt0121641'], ['tt0048010'], ['tt1911626'], ['tt0330236'], ['tt0459783'], ['tt12288350'], ['tt14007540'], ['tt4342020'], ['tt3334390'], ['tt1588398']]",18
Control,"[['tt0373981'], ['tt0374584'], ['tt2550112'], ['tt7550218'], ['tt12317952'], ['tt8338378'], ['tt0373981'], ['tt14036276'], ['tt2550112'], ['tt6488806'], ['tt0462236'], ['tt14036276'], ['tt2550112'], ['tt12401634'], ['tt12529986'], ['tt14158740'], ['tt5718544'], ['tt23952252'], ['tt0374584'], ['tt0373981'], ['tt23952252'], ['tt14036276'], ['tt0374584'], ['tt0092781'], ['tt2550112'], ['tt10295702'], ['tt12317952'], ['tt22750122'], ['tt0421082']]",18
Blood,"[['tt2078552'], ['tt13280054'], ['tt1939657'], ['tt0071232'], ['tt0190273'], ['tt5990494'], ['tt3829844'], ['tt6710206'], ['tt2070619'], ['tt7973204'], ['tt5779458'], ['tt6710206'], ['tt0098252'], ['tt2070619'], ['tt6170410'], ['tt4590622'], ['tt0429691'], ['tt6710206'], ['tt13280054'], ['tt2078552'], ['tt12157402'], ['tt7158252'], ['tt3751232']]",18
No Way Out,"[['tt0093640'], ['tt0042792'], ['tt9893160'], ['tt0069013'], ['tt10187718'], ['tt3551684'], ['tt8772594'], ['tt15452224'], ['tt8108968'], ['tt8107236'], ['tt0093640'], ['tt0042792'], ['tt0093640'], ['tt10187718'], ['tt7161676'], ['tt6474752'], ['tt6474752'], ['tt5222636'], ['tt0093640'], ['tt9893160'], ['tt0069013'], ['tt25964770'], ['tt1683919'], ['tt6474752'], ['tt5222636'], ['tt0093640'], ['tt0042792'], ['tt9893160'], ['tt0069013'], ['tt15347500'], ['tt3551684'], ['tt6474752'], ['tt10187718'], ['tt5143034'], ['tt13244384']]",18
Underground,"[['tt0202644'], ['tt0100846'], ['tt7708690'], ['tt0201289'], ['tt1811371'], ['tt15520944'], ['tt1717733'], ['tt0019509'], ['tt0034337'], ['tt20256638'], ['tt0034337'], ['tt0114787'], ['tt0114787'], ['tt0034337'], ['tt0066505'], ['tt0870209'], ['tt1577111'], ['tt0100846'], ['tt8305936'], ['tt0201289'], ['tt0066505'], ['tt1077070'], ['tt7708690'], ['tt0201289'], ['tt1717733'], ['tt8907096']]",17
Vengeance,"[['tt1329454'], ['tt11959018'], ['tt0288865'], ['tt4143006'], ['tt2970646'], ['tt14287896'], ['tt12417140'], ['tt8773662'], ['tt14674812'], ['tt5323388'], ['tt0021515'], ['tt2970646'], ['tt11976532'], ['tt2970646'], ['tt0021515'], ['tt2970646'], ['tt2820948'], ['tt1329454'], ['tt0021515'], ['tt0288865'], ['tt4143006'], ['tt4765968'], ['tt11976532'], ['tt1329454'], ['tt0081705'], ['tt0288865'], ['tt5005094'], ['tt14287896'], ['tt2820948'], ['tt0429218']]",17
Home,"[['tt18266584'], ['tt2545384'], ['tt13438598'], ['tt9001594'], ['tt11368512'], ['tt9701552'], ['tt2372760'], ['tt8601408'], ['tt1784466'], ['tt0005504'], ['tt2224026'], ['tt8883462'], ['tt2224026'], ['tt5923662'], ['tt9001594'], ['tt1787871'], ['tt6678802'], ['tt2224026'], ['tt2224026'], ['tt2224026'], ['tt8245794'], ['tt9701552'], ['tt15685072'], ['tt9701552'], ['tt2545384'], ['tt5923662'], ['tt8601408']]",17
Love,"[['tt3774694'], ['tt4777250'], ['tt0392360'], ['tt0018107'], ['tt2202471'], ['tt0102361'], ['tt14295864'], ['tt10833600'], ['tt0226093'], ['tt1404048'], ['tt1190130'], ['tt4507058'], ['tt1541874'], ['tt8212482'], ['tt12573294'], ['tt0450363'], ['tt24068194']]",17
The Stranger,"[['tt11897478'], ['tt0038991'], ['tt2437006'], ['tt7418580'], ['tt12137042'], ['tt9728306'], ['tt2238470'], ['tt4016718'], ['tt0038991'], ['tt0038991'], ['tt2238470'], ['tt0137291'], ['tt4016718'], ['tt9804228'], ['tt4205844'], ['tt8046932'], ['tt0164015'], ['tt8046932'], ['tt4165118'], ['tt4016718'], ['tt4165118'], ['tt4165118'], ['tt0164015'], ['tt11897478'], ['tt0038991'], ['tt2238470'], ['tt0137291'], ['tt0163566'], ['tt4016718'], ['tt2437006'], ['tt15408572'], ['tt0123281'], ['tt9804228'], ['tt12137042']]",17
